Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Total
MUT10,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT11,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT12,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT13,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT13,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT58,spec2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT59,spec2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT59,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT60,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT61,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT80,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT84,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT93,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT94,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT79,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT92,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT18V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT18V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT92V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT109V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT116V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT121V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT123V,spec2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT124V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT127V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT127V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT132V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT134V,spec2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT134V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT137V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT163V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT164V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT170V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT186V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT186V,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT188V,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT189V,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT191V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT191V,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT192V,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT193V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT194V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT194V,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT195V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT196V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT200V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT218V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT223V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT225V,spec3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT234V,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
