Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Total
MUT26,spec11,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,9.0
MUT27,spec11,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9.0
MUT29,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT43,spec7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT44,spec7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT46,spec8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT18,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT20,spec10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT21,spec10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT23,spec5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT24,spec11,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,8.0
MUT24,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT30,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT33,spec11,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9.0
MUT35,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT37,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT38,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT40,spec2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT41,spec7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT41,spec8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT47,spec8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT50,spec7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT11V,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT12V,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT15V,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT15V,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16V,spec2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16V,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16V,spec7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16V,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16V,spec10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT16V,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT18V,spec10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT20V,spec10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT21V,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT22V,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT23V,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT24V,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT27V,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT28V,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT29V,spec8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT30V,spec9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT31V,spec8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT32V,spec8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT33V,spec8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT34V,spec8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT35V,spec7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT36V,spec7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
