Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT11,spec7,,,,,,,,,,,1800.0
MUT26,spec1,,,,,,,,,,,1800.0
MUT36,spec10,429.598136,557.586019,613.112237,1058.591793,,1313.347445,,469.385537,,,1164.1621167
MUT42,spec8,,,,,,1342.146112,,,,,1754.2146111999998
MUT51,spec11,,,,,,,,,,,1800.0
MUT172,spec1,1177.661153,,,,,,12.386489,,1190.174566,,1498.0222208
MUT16,spec9,,,,,,,,,,,1800.0
MUT31,spec5,21.282351,,,1704.845022,,,,,,,1612.6127373
MUT42V,spec5,,,,,,,,,,,1800.0
MUT42V,spec7,,,,,,,,,,,1800.0
MUT53V,spec9,,,,,,,,,,,1800.0
MUT68V,spec5,,,,,,,,,,,1800.0
MUT78V,spec7,,,,1235.50326,1586.011848,1035.133544,,,,,1645.6648652
MUT105V,spec1,,,,,,,,,,,1800.0
MUT114V,spec2,,,,,1424.0559,,,,858.537774,,1668.2593674
MUT131V,spec4,,,,,,,,,,,1800.0
MUT156V,spec1,,,,,,,,1080.068965,,,1728.0068964999998
MUT167V,spec5,,,,,,,,,,,1800.0
MUT169V,spec9,,,,,,,,,,,1800.0
MUT180V,spec11,,,,,,,,,,,1800.0
MUT260V,spec11,,,,,,,,,,,1800.0
MUT294V,spec2,128.650091,,,576.396712,,,237.510992,,,,1354.2557795
MUT307V,spec8,,,,,,,,,,,1800.0
MUT359V,spec10,,,,,,,,,,,1800.0
MUT636V,spec4,,,,,,,,,,,1800.0
MUT739V,spec2,,,,,1632.4634,,,35.620723,,,1606.8084123
MUT749V,spec6,,,,,,,,,,,1800.0
MUT752V,spec12,,566.556858,301.309172,128.485399,8.594401,120.368043,,1503.043743,,1389.73817,941.8095786
MUT756V,spec5,,,,,,,,,,,1800.0
MUT775V,spec1,,,,,,,,,,,1800.0
MUT780V,spec2,,,,,,,,,,,1800.0
MUT785V,spec3,,,,,,,,,,,1800.0
MUT789V,spec2,,,,,,,,,,,1800.0
MUT789V,spec3,,,,,,,,,,,1800.0
MUT790V,spec1,,,,,,,,,,959.411591,1715.9411591
MUT790V,spec3,,,,,,,,,,,1800.0
MUT817V,spec1,,,,,,,,,,,1800.0
MUT1252V,spec11,,,,,,,,,,,1800.0
MUT1261V,spec12,,,,,,,,,,,1800.0
MUT1262V,spec4,,,,,,,,,,,1800.0
MUT1269V,spec9,,,,,,,,,,,1800.0
MUT1273V,spec12,6.001823,0.77401,1.779401,1.803523,3.153222,0.640194,9.928294,5.265253,2.630213,1.252908,3.3228841000000005
MUT1283V,spec6,,,,,,,,,,,1800.0
MUT1283V,spec11,,,,,,,,,,,1800.0
MUT1323V,spec2,48.200088,11.360932,23.997772,12.0646,41.648137,50.08378,237.95054,31.254742,178.957694,41.831051,67.7349336
MUT1326V,spec1,,,,,,,,,,,1800.0
MUT1429V,spec2,,,,,,,,,,,1800.0
MUT1461V,spec5,,,,,,,,,,,1800.0
MUT1602V,spec9,,,,,,,,,,,1800.0
MUT1633V,spec8,,,,,,,,,,,1800.0

